Module Name,Technology,Complexity,Time,Cost
login,PHP,small,2.54,127.4
register,PHP,small,2.54,227.4
dashboard,PHP,medium,10.11,600.86
profile,PHP,medium,5.92,444.62
settings,PHP,small,1.54,227.4
content management,PHP,small,43.54,227.4
user authentication,PHP,small,0.3,227.4
authorization,PHP,medium    ,0.3,444.62
search,PHP,medium,0.45,444.62
navigation,PHP,small,1.25,227.4
sitemap,PHP,small,4.54,227.4
feedback,PHP,small,0.25,227.4
contact,PHP,small,0.25,227.4
newsletter subscription,PHP,small,0.25,227.4
help,PHP,small,1.01,444.62
faq,PHP,small,1.0,444.62
product catalog,PHP,medium,8.92,444.62
shopping cart,PHP,medium,9.92,444.62
checkout,PHP,medium,8.92,444.62
payment gateway,PHP,large,18.11,907.86
order management,PHP,medium,8.92,444.62
inventory management,PHP,medium,8.92,444.62
shipping,PHP,medium,8.92,444.62
returns,PHP,small,4.54,227.4
customer accounts,PHP,medium,8.92,444.62
reviews & ratings,PHP,medium,8.92,444.62
wishlists,PHP,small,4.54,227.4
promotions & discounts,PHP,medium,8.92,444.62
coupons,PHP,medium,8.92,444.62
admin login,PHP,small,4.54,227.4
user management,PHP,small,4.54,227.4
content management (admin),PHP,small,4.54,227.4
product management,PHP,small,4.54,227.4
order management (admin),PHP,small,4.54,227.4
report generation,PHP,medium,8.92,444.62
analytics dashboard,PHP,large,18.11,907.86
settings (admin),PHP,medium,8.92,444.62
seo management,PHP,small,4.54,227.4
security management,PHP,small,4.54,227.4
file management,PHP,small,4.54,227.4
blog management (if applicable),PHP,medium,8.92,444.62
cms integrations,PHP,medium,8.92,444.62
api integrations,PHP,small,4.54,227.4
payment history,PHP,small,4.54,227.4
notification system,PHP,small,4.54,227.4
inventory management,angular,medium,10.5,525.0
speech recognition,fastapi,large,17.7,885.0
speech recognition,fastapi,small,3.3,165.0
social media integration,angular,small,5.3,265.0
voice assistant,angular,large,19.7,985.0
activity monitoring,node.js,small,4.3,215.0
voice assistant,ruby on rails,medium,9.9,495.0
inventory management,angular,large,12.6,630.0
inventory management,c#,medium,11.5,575.0
user management,java,small,4.5,225.0
user management,python,medium,11.6,580.0
inventory management,java,small,3.6,180.0
data analytics,python,large,21.4,1070.0
voice assistant,python,medium,9.4,470.0
